iter	Passed	Remaining
0	185	185433
1	189	94724
2	194	64634
3	196	48959
4	200	39979
5	205	34008
6	209	29774
7	214	26659
8	219	24182
9	224	22206
10	228	20548
11	232	19164
12	237	18020
13	242	17072
14	246	16210
15	252	15499
16	256	14836
17	261	14292
18	266	13771
19	270	13277
20	275	12865
21	280	12489
22	286	12149
23	290	11810
24	293	11445
25	298	11170
26	302	10902
27	307	10666
28	311	10432
29	316	10234
30	321	10047
31	324	9828
32	329	9660
33	333	9468
34	337	9300
35	342	9158
36	346	9011
37	351	8893
38	355	8758
39	360	8649
40	365	8548
41	370	8452
42	374	8340
43	379	8246
44	383	8145
45	388	8055
46	392	7959
47	396	7873
48	401	7790
49	405	7709
50	410	7637
51	415	7569
52	419	7496
53	424	7429
54	428	7367
55	435	7334
56	440	7288
57	445	7228
58	449	7162
59	453	7111
60	458	7065
61	464	7027
62	469	6976
63	474	6935
64	479	6892
65	484	6850
66	488	6800
67	490	6727
68	495	6689
69	500	6654
70	505	6614
71	511	6587
72	515	6545
73	518	6493
74	523	6455
75	527	6416
76	531	6374
77	536	6337
78	540	6303
79	545	6268
80	549	6239
81	554	6207
82	559	6179
83	562	6133
84	566	6101
85	571	6077
86	576	6049
87	581	6029
88	585	5997
89	591	5979
90	595	5949
91	598	5903
92	602	5877
93	607	5853
94	611	5825
95	616	5800
96	620	5774
97	623	5735
98	627	5712
99	631	5687
100	637	5672
101	641	5650
102	645	5625
103	650	5603
104	655	5583
105	660	5567
106	665	5555
107	670	5537
108	673	5505
109	678	5487
110	682	5465
111	686	5446
112	691	5425
113	696	5410
114	701	5398
115	705	5379
116	710	5364
117	715	5350
118	720	5333
119	724	5316
120	729	5300
121	734	5285
122	738	5265
123	742	5247
124	747	5230
125	751	5214
126	757	5203
127	761	5188
128	766	5173
129	770	5157
130	775	5141
131	779	5128
132	784	5115
133	789	5103
134	794	5091
135	799	5079
136	804	5068
137	809	5057
138	814	5044
139	818	5030
140	823	5017
141	827	5001
142	832	4989
143	837	4975
144	841	4963
145	846	4953
146	851	4938
147	855	4922
148	859	4911
149	864	4897
150	868	4885
151	873	4874
152	878	4863
153	882	4849
154	887	4838
155	892	4827
156	896	4816
157	901	4803
158	906	4795
159	910	4782
160	914	4767
161	919	4755
162	924	4746
163	927	4729
164	932	4721
165	937	4711
166	941	4698
167	946	4686
168	950	4672
169	954	4658
170	958	4647
171	962	4635
172	967	4623
173	971	4614
174	976	4604
175	980	4592
176	985	4581
177	990	4572
178	994	4562
179	999	4551
180	1003	4539
181	1007	4529
182	1012	4521
183	1017	4511
184	1022	4505
185	1027	4496
186	1033	4493
187	1036	4475
188	1041	4468
189	1046	4462
190	1051	4452
191	1056	4446
192	1061	4438
193	1065	4427
194	1069	4414
195	1073	4403
196	1077	4391
197	1082	4383
198	1086	4373
199	1091	4364
200	1095	4354
201	1099	4345
202	1104	4336
203	1109	4327
204	1113	4317
205	1117	4307
206	1121	4298
207	1125	4287
208	1131	4282
209	1136	4276
210	1143	4275
211	1149	4271
212	1154	4266
213	1159	4257
214	1165	4253
215	1171	4252
216	1178	4252
217	1184	4248
218	1190	4244
219	1196	4243
220	1202	4239
221	1208	4234
222	1214	4232
223	1220	4227
224	1227	4228
225	1232	4222
226	1243	4233
227	1249	4229
228	1256	4229
229	1263	4231
230	1270	4227
231	1277	4227
232	1283	4223
233	1287	4214
234	1292	4208
235	1299	4206
236	1303	4196
237	1310	4195
238	1316	4191
239	1321	4185
240	1326	4178
241	1333	4176
242	1339	4173
243	1346	4172
244	1351	4165
245	1358	4164
246	1362	4154
247	1367	4147
248	1374	4145
249	1380	4141
250	1385	4133
251	1390	4127
252	1393	4115
253	1398	4108
254	1405	4107
255	1410	4099
256	1414	4090
257	1419	4083
258	1424	4074
259	1428	4065
260	1433	4059
261	1438	4051
262	1442	4043
263	1447	4035
264	1452	4029
265	1457	4020
266	1461	4012
267	1466	4004
268	1471	3997
269	1475	3988
270	1480	3982
271	1485	3974
272	1492	3973
273	1497	3966
274	1505	3968
275	1509	3960
276	1516	3959
277	1525	3961
278	1530	3954
279	1537	3952
280	1543	3948
281	1550	3948
282	1559	3951
283	1565	3946
284	1573	3947
285	1579	3942
286	1583	3934
287	1590	3933
288	1597	3929
289	1605	3929
290	1611	3925
291	1614	3915
292	1621	3912
293	1628	3910
294	1634	3905
295	1638	3895
296	1643	3890
297	1650	3887
298	1656	3883
299	1662	3878
300	1668	3874
301	1673	3868
302	1678	3861
303	1686	3861
304	1693	3858
305	1701	3857
306	1707	3854
307	1712	3848
308	1719	3844
309	1724	3838
310	1729	3831
311	1734	3823
